Feature,%IncMSE_avg,IncNodePurity_avg,%IncMSE_max,IncNodePurity_max
strided.extension.forward.non_throwing,9.242793355,51.67022955,8.806898956,50.71097202
strided.extension.forward.throwing,8.616582973,35.65041139,6.922208553,35.40231339
movement.standing.flexion,5.200588562,32.17460184,4.796598399,27.60789014
lateral.lunge.non_throwing,3.715882595,10.52221137,2.837623865,7.765768388
barbell.rdl,3.560610498,41.18369675,3.894036941,42.15945681
cervical.active.rom.rotation.non.throwing,3.388777785,5.666138708,1.421611733,7.845814998
hip.prone.quad.length.throwing,3.054049,8.452501465,2.992287517,9.258876528
hip.hamstring.non.throwing,1.721220461,12.92220066,-0.516695505,10.68948946
cervical.active.rom.rotation.throwing,1.399031008,4.991236956,2.086480794,10.36743635
reverse.lunge.non_throwing,1.213712638,5.699492947,-0.46670463,4.271589914
side.step.walkout,0.862308827,0.686238598,-1.152616191,0.864214751
hip.bias.non.throwing,0.496068953,10.45452093,-0.592656585,12.49095379
front.squat,0.268502308,4.572491408,-2.876183969,6.832509412
reverse.lunge.throwing,0.130878762,1.643955124,-0.118324347,2.441967598
spine.lumbar,-0.327823527,5.039927882,0.123444035,7.167431151
spine.cervical,-0.530844713,1.467924304,-2.230931223,1.36096687
scap.eval.90deg.non_throwing,-0.556216873,3.88305294,0.198615326,3.654487353
hip.rotational.arc.non_throwing,-0.695109782,1.462389539,-3.126580622,2.11394809
hip.rotational.arc.throwing,-0.736413684,5.168881594,0.592390591,5.515909094
scap.eval.90deg.throwing,-0.827426372,4.775870416,1.803269175,5.643737171
lateral.lunge.throwing,-0.831482166,1.029755214,-0.057466246,1.163463239
cervical.active.rom.extension,-0.98161196,12.30901165,1.878803019,9.673736419
hip.hamstring.throwing,-1.015404931,6.693472739,-1.766301698,7.01276042
elbow.extension.throwing,-1.181376289,7.113326219,-0.90399076,7.432342627
cervical.active.rom.flexion,-1.275117846,8.447897391,0.473076008,7.726358891
scap.eval.0deg.non_throwing,-1.614472674,5.970317442,-1.0920555,6.661270952
elbow.extension.non.throwing,-1.704677392,5.509905287,0.808015234,6.041901315
scap.eval.0deg.throwing,-1.71229488,10.58339145,-2.212411011,11.03004745
pushup,-1.73526751,15.5409635,0.223781365,9.949215124
thoracic.rotation.non_throwing,-1.978496687,24.3542959,-1.269739932,20.60155799
spine.thoracic,-2.477636517,4.994511816,-3.165305885,3.101328072
hip.thomas.test.non_throwing,-2.489984494,5.937528257,0.525698218,5.382054187
hip.bias.throwing,-2.553339031,9.702934044,-1.747122901,10.99209589
hip.prone.quad.length.non.throwing,-2.827472477,6.0574379,0.789705808,2.970436609
hip.thomas.test.throwing,-3.10224203,7.646384703,-0.510230876,3.696867114
thoracic.rotation.throwing,-3.505220742,13.32017693,-0.536300055,14.54590615
