KPI,Average_Fastball_Velo,Max_Fastball_Velo
single.leg.lateral.jump.inches.non.throwing,0.339,0.335
cmj.peak.force.n,0.323,0.251
shoulder.total.range.non.throwing,0.304,0.284
cmj.jump.height.cm,0.296,0.225
broad.jump.inches,0.289,0.276
shoulder.horizontal.abduction.throwing,0.288,0.262
medball.throws.shotput.toss.6lb.mph,0.274,0.264
dynamic.strength.index,0.259,0.235
shoulder.total.range.throwing,0.249,0.3
ankle.dorsiflexion.non.throwing,0.233,0.217
ankle.dorsiflexion.throwing,0.212,0.203
single.leg.lateral.jump.inches.throwing,0.191,0.18
squat.jump.height.cm,0.188,0.165
shoulder.flexion.scap.stabilized.throwing,0.172,0.184
shoulder.prone.active.er.throwing,0.171,0.217
grip.strength.throwing,0.167,0.124
hip.seated.external.rotation.90.throwing,0.167,0.229
grip.strength.non.throwing,0.15,0.07
shoulder.horizontal.abduction.non.throwing,0.139,0.16
medball.throws.overhead.throw.4lb.mph,0.136,0.16
imtp.peak.force.n,0.13,0.1
hip.prone.external.rotation.non.throwing,0.124,0.128
hip.seated.internal.rotation.90.non.throwing,0.119,0.118
shoulder.internal.rotation.non.throwing,0.087,0.062
shoulder.flexion.non.throwing,0.08,0.106
shoulder.prone.active.er.non.throwing,0.077,0.082
bodyweight,0.054,0.01
hip.seated.internal.rotation.90.throwing,0.054,0.09
hip.prone.external.rotation.throwing,0.051,0.123
hip.prone.internal.rotation.throwing,0.046,0.078
hip.seated.external.rotation.90.non.throwing,0.045,0.085
shoulder.internal.rotation.throwing,0.038,0.072
medball.throws.scoop.throw.6lb.mph,0.035,0.019
shoulder.flexion.scap.stabilized.non.throwing,0.016,0.028
shoulder.flexion.throwing,-0.013,0.03
eccentric.utilization.ratio,-0.068,-0.079
hip.prone.internal.rotation.non.throwing,-0.153,-0.112
X10.year.sprint.seconds.laser,-0.154,-0.215
